Username,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,score_12_12,rank_12_12
august h,Anora, Wicked, The Brutalist, Challengers, A Real Pain, Venom: The Last Dance, A Different Man, I Saw the TV Glow,2178.0,2.0
TroyMyers,Wicked, Will & Harper, A Real Pain, The Brutalist, Moana 2, Venom: The Last Dance, Smile 2, Megalopolis,1984.0,26.0
Pcoff,Smile 2, Moana 2, Wicked, Venom: The Last Dance, The Life of Chuck, Anora, Heretic, Nutcrackers,1938.0,43.0
CamMcG,Moana 2, Wicked, Didi, The Brutalist, A Different Man, The Apprentice, A Real Pain, The Substance,2121.0,5.0
Box Office Dementus,Smile 2, Heretic, Red One, Moana 2, A Complete Unknown, Venom: The Last Dance, Sonic the Hedgehog 3, Wicked,1810.0,163.0
Piratey Goodness,Venom: The Last Dance, Moana 2, Joker: Folie a Deux, The Order, Wicked, The Apprentice, Red One, Smile 2,1735.0,308.0
Redbeard,Moana 2, Babygirl, Wicked, Saturday Night, Venom: The Last Dance, Red One, A Real Pain, Juror #2,1815.0,155.0
Tim B,Venom: The Last Dance, Moana 2, Joker: Folie a Deux, Wicked, Red One, Smile 2, Wallace & Gromit: Vengeance Most Fowl, The Fire Inside,1726.0,324.0
Same13,Venom: The Last Dance, Moana 2, Super/Man: The Christopher Reeve Story, Wicked, A Different Man, The Brutalist, Didi, Saturday Night,1894.0,77.0
Illinimark,Joker: Folie a Deux, Venom: The Last Dance, Wicked, Moana 2, Smile 2, Red One, My Old Ass," ""The Lord of the Rings: The War of the Rohirrim
""",1721.0,331.0
Vespertillio,Moana 2, Sonic the Hedgehog 3, Wicked, Venom: The Last Dance, Thelma, A Different Man, A Real Pain, Babygirl,1796.0,186.0
A Real Wicked Conclave,Anora, Conclave, Wicked, A Real Pain, I Saw the TV Glow, The Brutalist, I'm Still Here, All We Imagine As Light,2184.0,1.0
tBone,Anora, Wicked, A Complete Unknown, The Brutalist, Venom: The Last Dance, Saturday Night, Smile 2, All We Imagine As Light,2004.0,19.0
MEGALOPOLIS THE ULTIMATE IMAX EXPERIENCE by Greg,The Seed of the Sacred Fig, Anora, Wicked, Stress Positions, The Friend, My Old Ass, Moana 2, Venom: The Last Dance,1863.0,96.0
I Am Job,Moana 2, Wicked, Venom: The Last Dance, Anora, Megalopolis, Piece by Piece, Heretic, Brothers,1859.0,98.0
Mikes Hard Truths,Anora, Nickel Boys, Wicked, I Saw the TV Glow, Venom: The Last Dance, Bird, A Real Pain, All We Imagine As Light,1963.0,34.0
